LeftIndex,RightIndex,Label,FullName,Gyrus,GyrusFullName,Lobe
1,2,A8m,medial area 8,SFG,Superior frontal gyrus,Frontal lobe
3,4,A8dl,dorsolateral area 8,SFG,Superior frontal gyrus,Frontal lobe
5,6,A9l,lateral area 9,SFG,Superior frontal gyrus,Frontal lobe
7,8,A6dl,dorsolateral area 6,SFG,Superior frontal gyrus,Frontal lobe
9,10,A6m,medial area 6,SFG,Superior frontal gyrus,Frontal lobe
11,12,A9m,medial area 9,SFG,Superior frontal gyrus,Frontal lobe
13,14,A10m,medial area 10,SFG,Superior frontal gyrus,Frontal lobe
15,16,A9/46d,dorsal area 9/46,MFG,Middle frontal gyrus,Frontal lobe
17,18,IFJ,inferior frontal junction,MFG,Middle frontal gyrus,Frontal lobe
19,20,A46,area 46,MFG,Middle frontal gyrus,Frontal lobe
21,22,A9/46v,ventral area 9/46,MFG,Middle frontal gyrus,Frontal lobe
23,24,A8vl,ventrolateral area 8,MFG,Middle frontal gyrus,Frontal lobe
25,26,A6vl,ventrolateral area 6,MFG,Middle frontal gyrus,Frontal lobe
27,28,A10l,lateral area 10,MFG,Middle frontal gyrus,Frontal lobe
29,30,A44d,dorsal area 44,IFG,Inferior frontal gyrus,Frontal lobe
31,32,IFS,inferior frontal sulcus,IFG,Inferior frontal gyrus,Frontal lobe
33,34,A45c,caudal area 45,IFG,Inferior frontal gyrus,Frontal lobe
35,36,A45r,rostral area 45,IFG,Inferior frontal gyrus,Frontal lobe
37,38,A44op,opercular area 44,IFG,Inferior frontal gyrus,Frontal lobe
39,40,A44v,ventral area 44,IFG,Inferior frontal gyrus,Frontal lobe
41,42,A14m,medial area 14,OrG,Orbital gyrus,Frontal lobe
43,44,A12/47o,orbital area 12/47,OrG,Orbital gyrus,Frontal lobe
45,46,A11l,lateral area 11,OrG,Orbital gyrus,Frontal lobe
47,48,A11m,medial area 11,OrG,Orbital gyrus,Frontal lobe
49,50,A13,area 13,OrG,Orbital gyrus,Frontal lobe
51,52,A12/47l,lateral area 12/47,OrG,Orbital gyrus,Frontal lobe
53,54,A4hf,area 4(head and face region),PrG,Precentral gyrus,Frontal lobe
55,56,A6cdl,caudal dorsolateral area 6,PrG,Precentral gyrus,Frontal lobe
57,58,A4ul,area 4(upper limb region),PrG,Precentral gyrus,Frontal lobe
59,60,A4t,area 4(trunk region),PrG,Precentral gyrus,Frontal lobe
61,62,A4tl,area 4(tongue and larynx region),PrG,Precentral gyrus,Frontal lobe
63,64,A6cvl,caudal ventrolateral area 6,PrG,Precentral gyrus,Frontal lobe
65,66,A1/2/3ll,area 1/2/3 (lower limb region),PCL,Paracentral lobule,Frontal lobe
67,68,A4ll,"area 4, (lower limb region)",PCL,Paracentral lobule,Frontal lobe
69,70,A38m,medial area 38,STG,Superior temporal gyrus,Temporal lobe
71,72,A41/42,area 41/42,STG,Superior temporal gyrus,Temporal lobe
73,74,TE1.0 and TE1.2,,STG,Superior temporal gyrus,Temporal lobe
75,76,A22c,caudal area 22,STG,Superior temporal gyrus,Temporal lobe
77,78,A38l,lateral area 38,STG,Superior temporal gyrus,Temporal lobe
79,80,A22r,rostral area 22,STG,Superior temporal gyrus,Temporal lobe
81,82,A21c,caudal area 21,MTG,Middle temporal gyrus,Temporal lobe
83,84,A21r,rostral area 21,MTG,Middle temporal gyrus,Temporal lobe
85,86,A37dl,dorsolateral area 37,MTG,Middle temporal gyrus,Temporal lobe
87,88,aSTS,anterior superior temporal sulcus,MTG,Middle temporal gyrus,Temporal lobe
89,90,A20iv,intermediate ventral area 20,ITG,Inferior temporal gyrus,Temporal lobe
91,92,A37elv,extreme lateroventral area 37,ITG,Inferior temporal gyrus,Temporal lobe
93,94,A20r,rostral area 20,ITG,Inferior temporal gyrus,Temporal lobe
95,96,A20il,intermediate lateral area 20,ITG,Inferior temporal gyrus,Temporal lobe
97,98,A37vl,ventrolateral area 37,ITG,Inferior temporal gyrus,Temporal lobe
99,100,A20cl,caudolateral of area 20,ITG,Inferior temporal gyrus,Temporal lobe
101,102,A20cv,caudoventral of area 20,ITG,Inferior temporal gyrus,Temporal lobe
