MNI_X	MNI_Y	MNI_Z
-36.15	-43.58	46.14
-41.07	-42.54	46.87
-46.23	-41.32	48.04
-50.69	-39.88	49.29
-54.25	-38.34	50.14
-57.63	-37.29	50.1
-61.57	-36.71	49.64
-9.16	-35.68	39.61
-14.24	-35.52	39.85
-19.12	-35.55	39.53
-28.52	-35.82	39.97
-32.84	-36.59	40.21
-36.6	-37.53	40.37
-41.04	-37.37	40.95
-50.44	-37.54	43.43
-55.18	-38.65	43.92
-59.04	-38.15	42.67
-61.87	-36.63	41.33
-64.77	-35.99	40.41
-42.45	-27.24	35.33
-45.57	-26.75	38.6
-48.48	-26.22	41.36
-51.31	-25.45	44.16
-54.25	-23.84	46.89
-56.32	-21.43	50.01
-57.48	-20	53.7
-36.52	-33.97	42.64
-39	-33.21	46.12
-40.62	-31.57	49.72
-41.96	-29.43	53.54
-44.21	-27.83	57.49
-46.74	-26.76	61.04
-48.45	-26	64.38
-31.04	-38.8	47.13
-33.1	-40.13	50.89
-35.15	-41.41	53.87
-37.47	-42.89	56.17
-40	-44.6	58.02
-42.69	-46.16	59.93
-45.26	-47.06	62.37
-35.79	-36.63	43.21
-36.25	-38.95	47.18
-36.14	-40.8	51.35
-35.86	-43.14	54.45
-35.92	-45.92	56.66
-36.19	-48.84	59.07
-37.02	-51.61	62.1
-38.41	-53.8	65.3
